id,id_index,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,periode_update,kategori,jumlah,satuan,tahun
1,11,35,JAWA TIMUR,3501,KABUPATEN PACITAN,2020-01,BERAS MEDIUM,8500,RP/KG,2020
1,21,35,JAWA TIMUR,3501,KABUPATEN PACITAN,2020-01,BERAS PREMIUM,10500,RP/KG,2020
1,31,35,JAWA TIMUR,3501,KABUPATEN PACITAN,2020-01,GABAH KERING GILING,5500,RP/KG,2020
1,41,35,JAWA TIMUR,3501,KABUPATEN PACITAN,2020-01,GABAH KERING PANEN,0,RP/KG,2020
1,51,35,JAWA TIMUR,3501,KABUPATEN PACITAN,2020-01,JAGUNG PIPIL KERING,4200,RP/KG,2020
1,61,35,JAWA TIMUR,3501,KABUPATEN PACITAN,2020-01,KEDELAI,0,RP/KG,2020
2,72,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2020-01,BERAS MEDIUM,8750,RP/KG,2020
2,82,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2020-01,BERAS PREMIUM,10500,RP/KG,2020
2,92,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2020-01,GABAH KERING GILING,5362,RP/KG,2020
2,102,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2020-01,GABAH KERING PANEN,4478,RP/KG,2020
2,112,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2020-01,JAGUNG PIPIL KERING,4550,RP/KG,2020
2,122,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,2020-01,KEDELAI,7380,RP/KG,2020
3,133,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2020-01,BERAS MEDIUM,8383,RP/KG,2020
3,143,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2020-01,BERAS PREMIUM,8848,RP/KG,2020
3,153,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2020-01,GABAH KERING GILING,5558,RP/KG,2020
3,163,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,2020-01,GABAH KERING PANEN,4796,RP/KG,2020
